PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lavidas, George; Venugopal, Vengatesan; Friedrich, Daniel								Wave energy extraction in Scotland through an improved nearshore wave atlas								INTERNATIONAL JOURNAL OF MARINE ENERGY				17				64	83		10.1016/j.ijome.2017.01.008			APR 2017	2017										2							WOS:000400280300005		
J	Foster, Gemma; Bennett, James; Sparks, Tim								An assessment of bumblebee (Bombus spp) land use and floral preference in UK gardens and allotments cultivated for food								URBAN ECOSYSTEMS				20	2			425	434		10.1007/s11252-016-0604-7			APR 2017	2017										0							WOS:000399011500015		
J	Dennis, Emily B.; Morgan, Byron J. T.; Freeman, Stephen N.; Ridout, Martin S.; Brereton, Tom M.; Fox, Richard; Powney, Gary D.; Roy, David B.								Efficient occupancy model-fitting for extensive citizen-science data								PLOS ONE				12	3					e0174433	10.1371/journal.pone.0174433			MAR 22 2017	2017										0							WOS:000399094700093		
J	Lopez-Baucells, Adria; Casanova, Laura; Puig-Montserrat, Xavier; Espinal, Anna; Paramo, Ferran; Flaquer, Caries								Evaluating the use of Myotis daubentonii as an ecological indicator in Mediterranean riparian habitats								ECOLOGICAL INDICATORS				74				19	27		10.1016/j.ecolind.2016.11.012			MAR 2017	2017										0							WOS:000398334500003		
J	Mottequin, Bernard; Aretz, Markus; Herbig, Hans-Georg; Baidder, Lahssen; Kaoukaya, Abdelhadi; Denayer, Julien								New insight on Carboniferous (Visean) brachiopods from eastern Tafilalt (Morocco)								GEOLOGICAL JOURNAL				52	2			217	233		10.1002/gj.2750			MAR-APR 2017	2017										2							WOS:000398112100003		
J	Butlin, Robin A.								The Leeds and Yorkshire Geographical Society c. 1902-17								NORTHERN HISTORY				54	1			94	112		10.1080/0078172X.2017.1283092			MAR 2017	2017										0							WOS:000395707300007		
J	Pavlovic, Strahinja; Pereira, Cristiana Palmela; Santos, Rui Filipe Vargas de Sousa								Age estimation in Portuguese population: The application of the London atlas of tooth development and eruption								FORENSIC SCIENCE INTERNATIONAL				272				97	103		10.1016/j.forsciint.2017.01.011			MAR 2017	2017										0							WOS:000395505900015		
J	Essarraj, Samira; Boiron, Marie-Christine; Cathelineau, Michel; Tarantola, Alexandre; Leisen, Mathieu; Hibti, Mohamed								Mineralogy and ore fluid chemistry of the Roc Blanc Ag deposit, Jebilet Hercynian massif, Morocco								JOURNAL OF AFRICAN EARTH SCIENCES				127				175	193		10.1016/j.jafrearsci.2016.07.020			MAR 2017	2017										1							WOS:000395223700013		
J	Foster, Emma; Hawkins, Adrian; Barton, Karen L.; Stamp, Elaine; Matthews, John N. S.; Adamson, Ashley J.								Development of food photographs for use with children aged 18 months to 16 years: Comparison against weighed food diaries - The Young Person's Food Atlas (UK)								PLOS ONE				12	2					e0169084	10.1371/journal.pone.0169084			FEB 15 2017	2017										0							WOS:000394424400005		
J	Gan, Li-Hua; Wu, Rui; Tian, Jian-Lei; Fowler, Patrick W.								An atlas of endohedral Sc2S cluster fullerenes								PHYSICAL CHEMISTRY CHEMICAL PHYSICS				19	1			419	425		10.1039/c6cp07370k			JAN 7 2017	2017										5							WOS:000391725300044		
J	Milne, Drew; Rasmussen, Jens			IEEE					Marine Scotland Open Data Network								OCEANS-IEEE														2017	2017						Oceans Aberdeen Conference	JUN 19-22, 2017		Aberdeen, ENGLAND	0							WOS:000426997001117		
J	Murgui, Enrique								Railways as a potential bird census tool in citizen-science projects: a preliminary study								BIRD STUDY				64	4			455	463		10.1080/00063657.2017.1400518			2017	2017										0							WOS:000419950100003		
J	Demirsu, Ipek								Talking security and rights The framing of counter-terrorism legislation in the UK								JOURNAL OF LANGUAGE AND POLITICS				16	5			658	682		10.1075/jlp.15043.dem			2017	2017										0							WOS:000416081300002		
B	Hollamby, Ken								THE RAILWAY ATLAS OF SCOTLAND: TWO HUNDRED YEARS OF HISTORY IN MAPS								CARTOGRAPHIC JOURNAL				54	2			190	191		10.1080/00087041.2017.1307043			2017	2017										0							WOS:000410644500016		
J	O'Brien, David; Hall, Jeanette; Miro, Alexandre; Wilkinson, John								Testing the validity of a commonly-used habitat suitability index at the edge of a species' range: great crested newt Triturus cristatus in Scotland								AMPHIBIA-REPTILIA				38	3			265	273		10.1163/15685381-00003108			2017	2017										0							WOS:000406952200001		
J	Zhao, Yihong; Zheng, Zhi-Liang; Castellanos, F. Xavier								Analysis of alcohol use disorders from the Nathan Kline Institute-Rockland Sample: Correlation of brain cortical thickness with neuroticism								DRUG AND ALCOHOL DEPENDENCE				170				66	73		10.1016/j.drugalcdep.2016.10.040			JAN 1 2017	2017										1							WOS:000392781700010		
J	Grinberg, Farida; Maximov, Ivan I.; Farrher, Ezequiel; Neuner, Irene; Amort, Laura; Thoennessen, Heike; Oberwelland, Eileen; Konrad, Kerstin; Shah, N. Jon								Diffusion kurtosis metrics as biomarkers of microstructural development: A comparative study of a group of children and a group of adults								NEUROIMAGE				144				12	22		10.1016/j.neuroimage.2016.08.033			JAN 1 2017	2017										5							WOS:000390982800002		
J	Kourlitis, Evangelos; French, Richard; Marin-Reyes, Hector								RADIATION EXPOSURE ASSESSMENT OF A ROBOT HAND SYSTEM								ADVANCES IN COOPERATIVE ROBOTICS								356	365					2017	2017						19th International Conference series on Climbing and Walking Robots and the Support Technologies for Mobile Machines (CLAWAR)	SEP 12-14, 2016	CLAWAR Assoc; Queen Mary Univ London; London S Bank Univ; Univ Sheffield; Kings Coll London	London, ENGLAND	0							WOS:000386326300043		
J	Dennis, Emily B.; Morgan, Byron J. T.; Freeman, Stephen N.; Brereton, Tom M.; Roy, David B.								A Generalized Abundance Index for Seasonal Invertebrates								BIOMETRICS				72	4			1305	1314		10.1111/biom.12506			DEC 2016	2016										3							WOS:000391932100030		
J	Botting, Joseph P.								Diversity and ecology of sponges in the Early Ordovician Fezouata Biota, Morocco								PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY				460				75	86		10.1016/j.palaeo.2016.05.018			OCT 15 2016	2016										7							WOS:000383296200007		
