author,title,year,articleURL,doi
"OL Pescott, KJ Walker, SM Smart, DB Roy",NPMS Air Pollution Data Review WP1 Report,2017,http://www.npms.org.uk/sites/www.npms.org.uk/files/PDF/NPMS%20Air%20Pollution%20Data%20Review_WP1_FINAL.pdf,NA
NSF IGERT,NRT-DESE: Risk and uncertainty quantification in marine science and policy,NA,https://pdfs.semanticscholar.org/7a20/3256b6f5ca66a0947ddd883c07ab337659c9.pdf,NA
L Wise,"OBSERVATIONS, ECOLOGICAL MONITORING, AND TEMPORAL DATA",2016,https://pdfs.semanticscholar.org/presentation/e554/db44daa762101ba2d5af32427ad53ca7e20e.pdf,NA
"D Ferreira, F Fazenda, K Baras",Online Geodatabases as a Source of Data for a Smart City World Model Building,2014,https://www.researchgate.net/profile/Karolina_Baras/publication/301549099_Online_Geodatabases_as_a_Source_of_Data_for_a_Smart_City_World_Model_Building/links/57c996d008ae3ac722af863e/Online-Geodatabases-as-a-Source-of-Data-for-a-Smart-City-World-Model-Building.pdf,NA
"MF Geiser, F Fanti","On the nomenclature of Cantharis nigra (De Geer, 1774) and C. thoracica (AG Olivier, 1790)(Cantharidae) as used in Britain and Ireland",2015,https://www.researchgate.net/profile/Fabrizio_Fanti/publication/289965648_On_the_nomenclature_of_Cantharis_nigra_De_Geer_1774_and_C_thoracica_AG_Olivier_1790_Cantharidae_as_used_in_Britain_and_Ireland/links/56cc983308ae85c8233ba049.pdf,NA
TH SPARKS,OTTO HERMAN AND HIS LEGACY OF BIRD MIGRATION PHENOLOGY,2015,https://www.researchgate.net/profile/Tim_Sparks/publication/289515571_OTTO_HERMAN_AND_HIS_LEGACY_OF_BIRD_MIGRATION_PHENOLOGY/links/568d9afd08aeaa1481ae79e9/OTTO-HERMAN-AND-HIS-LEGACY-OF-BIRD-MIGRATION-PHENOLOGY.pdf,NA
"FMP HOWIE, A GWYNN","PALAEOSOL IN DAYMER BAY, NORTH CORNWALL",2013,https://www.researchgate.net/profile/Frank_Howie/publication/261361386_The_sub-fossil_assemblage_from_a_Holocene_calcareous_palaeosol_in_Daymer_Bay_North_Cornwall/links/00463533fe1bbc5615000000/The-sub-fossil-assemblage-from-a-Holocene-calcareous-palaeosol-in-Daymer-Bay-North-Cornwall.pdf,NA
DL Hawksworth,Part I: Liehen Mapping Projects in Europe,1990,http://www.zobodat.at/pdf/Stuttgarter-Beitraege-Naturkunde_456_A_0005-0010.pdf,NA
"M Heubeck, RM Mellor, S Gear, WTS Miles",Population and breeding dynamics of European Shags Phalacrocorax aristotelis at three major colonies in Shetland,2015,http://www.seabirdgroup.org.uk/journals/seabird-28/seabird-28-55.pdf,NA
"C O'Brien, L O'Donnell","Possible evidence of textile-processing from a burnt stone mound at Coonagh West, Co. Limerick",2012,http://www.jstor.org/stable/jirisarch.21.57,NA
"J O'Connor, H Lally, A Mahon, I O'Connor, R Nash…","Potential pathways, trophic transfer and bioindicators of microplastics in freshwater systems",2018,https://www.researchgate.net/profile/James_Oconnor17/publication/324221592_Potential_pathways_trophic_transfer_and_bioindicators_of_microplastics_in_freshwater_systems/links/5ac5e1370f7e9b1067d4f997/Potential-pathways-trophic-transfer-and-bioindicators-of-microplastics-in-freshwater-systems.pdf,NA
"X Zhang, ACJ Vincent","Predicting distributions, habitat preferences and associated conservation implications for a genus of rare fishes, seahorses (Hippocampus spp.)",2018,https://onlinelibrary.wiley.com/doi/abs/10.1111/ddi.12741,NA
"R ORMOND, M GORE, A BLADON, O DUBOCK…","Protecting Cayman Island Sharks: Monitoring, Movement and Motive Protegiendo a los Tiburones de las Islas de Caimán: Monitoreo, Movimiento y Motivo …",2017,https://www.researchgate.net/profile/Mauvis_Gore/publication/321947459_Protecting_Cayman_Island_Sharks_Monitoring_Movement_and_Motive_Protegiendo_a_los_Tiburones_de_las_Islas_de_Caiman_Monitoreo_Movimiento_y_Motivo_Protection_des_Requins_aux_Iles_Cayman_Surveillance_Mouv/links/5a3a967f0f7e9b36f771d2ce/Protecting-Cayman-Island-Sharks-Monitoring-Movement-and-Motive-Protegiendo-a-los-Tiburones-de-las-Islas-de-Caiman-Monitoreo-Movimiento-y-Motivo-Protection-des-Requins-aux-Iles-Cayman-Surveillance.pdf,NA
J Geary,Published paper: DNA Barcoding in the Media,2016,NA,NA
